tipoTabla;sizeTabla;tipoClave;numElementos;tiempo
closed_hash_double;24821;username;1000;0.0005523
closed_hash_double;24821;username;5000;0.0031389
closed_hash_double;24821;username;10000;0.007
closed_hash_double;24821;username;15000;0.0113684
closed_hash_double;24821;username;20000;0.0193361
closed_hash_double;24821;username;1000;0.0005385
closed_hash_double;24821;username;5000;0.0029123
closed_hash_double;24821;username;10000;0.0065361
closed_hash_double;24821;username;15000;0.0114326
closed_hash_double;24821;username;20000;0.0193262
closed_hash_double;24821;username;1000;0.0006097
closed_hash_double;24821;username;5000;0.002915
closed_hash_double;24821;username;10000;0.0065657
closed_hash_double;24821;username;15000;0.0113236
closed_hash_double;24821;username;20000;0.0192905
closed_hash_double;24821;username;1000;0.0005327
closed_hash_double;24821;username;5000;0.0029132
closed_hash_double;24821;username;10000;0.0065085
closed_hash_double;24821;username;15000;0.0113353
closed_hash_double;24821;username;20000;0.020416
closed_hash_double;24821;username;1000;0.0005337
closed_hash_double;24821;username;5000;0.003088
closed_hash_double;24821;username;10000;0.0067805
closed_hash_double;24821;username;15000;0.0120145
closed_hash_double;24821;username;20000;0.0197433
closed_hash_double;24821;username;1000;0.0005348
closed_hash_double;24821;username;5000;0.0029311
closed_hash_double;24821;username;10000;0.0065249
closed_hash_double;24821;username;15000;0.0114
closed_hash_double;24821;username;20000;0.0193173
closed_hash_double;24821;username;1000;0.000532
closed_hash_double;24821;username;5000;0.0029126
closed_hash_double;24821;username;10000;0.0064958
closed_hash_double;24821;username;15000;0.0114103
closed_hash_double;24821;username;20000;0.0194107
closed_hash_double;24821;username;1000;0.0006029
closed_hash_double;24821;username;5000;0.0029215
closed_hash_double;24821;username;10000;0.0065107
closed_hash_double;24821;username;15000;0.0113146
closed_hash_double;24821;username;20000;0.0192178
closed_hash_double;24821;username;1000;0.0005323
closed_hash_double;24821;username;5000;0.0029236
closed_hash_double;24821;username;10000;0.0068252
closed_hash_double;24821;username;15000;0.0114175
closed_hash_double;24821;username;20000;0.0194376
closed_hash_double;24821;username;1000;0.0005394
closed_hash_double;24821;username;5000;0.0029181
closed_hash_double;24821;username;10000;0.0068183
closed_hash_double;24821;username;15000;0.0119296
closed_hash_double;24821;username;20000;0.0202378
closed_hash_double;24821;username;1000;0.0005351
closed_hash_double;24821;username;5000;0.0031554
closed_hash_double;24821;username;10000;0.00734
closed_hash_double;24821;username;15000;0.011357
closed_hash_double;24821;username;20000;0.0196287
closed_hash_double;24821;username;1000;0.0005354
closed_hash_double;24821;username;5000;0.0029183
closed_hash_double;24821;username;10000;0.0064916
closed_hash_double;24821;username;15000;0.0120181
closed_hash_double;24821;username;20000;0.019858
closed_hash_double;24821;username;1000;0.000538
closed_hash_double;24821;username;5000;0.0029148
closed_hash_double;24821;username;10000;0.0064516
closed_hash_double;24821;username;15000;0.0114032
closed_hash_double;24821;username;20000;0.0193267
closed_hash_double;24821;username;1000;0.0006909
closed_hash_double;24821;username;5000;0.0029272
closed_hash_double;24821;username;10000;0.0064813
closed_hash_double;24821;username;15000;0.0113918
closed_hash_double;24821;username;20000;0.0192278
closed_hash_double;24821;username;1000;0.000537
