tipoTabla;sizeTabla;tipoClave;numElementos;tiempo
closed_hash_linear;24821;user_id;2500;0.0007206
closed_hash_double;24821;user_id;2500;0.0006497
closed_hash_quadratic;24821;user_id;2500;0.0008771
open_hash;24821;user_id;2500;0.0008759
STL_map;24821;user_id;2500;0.0007165
closed_hash_linear;24821;user_id;5000;0.0014468
closed_hash_double;24821;user_id;5000;0.0015339
closed_hash_quadratic;24821;user_id;5000;0.0012618
open_hash;24821;user_id;5000;0.0015877
STL_map;24821;user_id;5000;0.0013852
closed_hash_linear;24821;user_id;7500;0.0018645
closed_hash_double;24821;user_id;7500;0.001905
closed_hash_quadratic;24821;user_id;7500;0.0018671
open_hash;24821;user_id;7500;0.0025252
STL_map;24821;user_id;7500;0.0022178
closed_hash_linear;24821;user_id;10000;0.0027303
closed_hash_double;24821;user_id;10000;0.0027917
closed_hash_quadratic;24821;user_id;10000;0.0027278
open_hash;24821;user_id;10000;0.0037181
STL_map;24821;user_id;10000;0.0031551
closed_hash_linear;24821;user_id;12500;0.0039939
closed_hash_double;24821;user_id;12500;0.0041432
closed_hash_quadratic;24821;user_id;12500;0.0037054
open_hash;24821;user_id;12500;0.0044869
STL_map;24821;user_id;12500;0.0040238
closed_hash_linear;24821;user_id;15000;0.0046295
closed_hash_double;24821;user_id;15000;0.0045587
closed_hash_quadratic;24821;user_id;15000;0.0045983
open_hash;24821;user_id;15000;0.0051714
STL_map;24821;user_id;15000;0.0048031
closed_hash_linear;24821;user_id;17500;0.0059143
closed_hash_double;24821;user_id;17500;0.005619
closed_hash_quadratic;24821;user_id;17500;0.0055099
open_hash;24821;user_id;17500;0.0061735
STL_map;24821;user_id;17500;0.0056323
closed_hash_linear;24821;user_id;20000;0.0080931
closed_hash_double;24821;user_id;20000;0.0069832
closed_hash_quadratic;24821;user_id;20000;0.0073036
open_hash;24821;user_id;20000;0.0070743
STL_map;24821;user_id;20000;0.0065389
closed_hash_linear;24821;user_id;2500;0.000623
closed_hash_double;24821;user_id;2500;0.0006476
closed_hash_quadratic;24821;user_id;2500;0.0006376
open_hash;24821;user_id;2500;0.0008292
STL_map;24821;user_id;2500;0.0007393
closed_hash_linear;24821;user_id;5000;0.0012462
closed_hash_double;24821;user_id;5000;0.0012998
closed_hash_quadratic;24821;user_id;5000;0.0012532
open_hash;24821;user_id;5000;0.0016137
STL_map;24821;user_id;5000;0.0014335
closed_hash_linear;24821;user_id;7500;0.001873
closed_hash_double;24821;user_id;7500;0.0019032
closed_hash_quadratic;24821;user_id;7500;0.0018575
open_hash;24821;user_id;7500;0.0025249
STL_map;24821;user_id;7500;0.0022763
closed_hash_linear;24821;user_id;10000;0.0027579
closed_hash_double;24821;user_id;10000;0.0027622
closed_hash_quadratic;24821;user_id;10000;0.0027185
open_hash;24821;user_id;10000;0.0034625
STL_map;24821;user_id;10000;0.0031906
