tipoTabla;sizeTabla;tipoClave;numElementos;tiempo
closed_hash_linear;24821;username;2500;0.0007744
closed_hash_double;24821;username;2500;0.0008814
closed_hash_quadratic;24821;username;2500;0.0007889
open_hash;24821;username;2500;0.0009343
STL_map;24821;username;2500;0.0007809
closed_hash_linear;24821;username;5000;0.0016274
closed_hash_double;24821;username;5000;0.0019445
closed_hash_quadratic;24821;username;5000;0.0017516
open_hash;24821;username;5000;0.0018531
STL_map;24821;username;5000;0.0015477
closed_hash_linear;24821;username;7500;0.0027025
closed_hash_double;24821;username;7500;0.002752
closed_hash_quadratic;24821;username;7500;0.0027464
open_hash;24821;username;7500;0.0028977
STL_map;24821;username;7500;0.0023736
closed_hash_linear;24821;username;10000;0.0035296
closed_hash_double;24821;username;10000;0.0040245
closed_hash_quadratic;24821;username;10000;0.003524
open_hash;24821;username;10000;0.0043925
STL_map;24821;username;10000;0.003397
closed_hash_linear;24821;username;12500;0.0048736
closed_hash_double;24821;username;12500;0.0053574
closed_hash_quadratic;24821;username;12500;0.0048676
open_hash;24821;username;12500;0.005096
STL_map;24821;username;12500;0.0042023
closed_hash_linear;24821;username;15000;0.0063363
closed_hash_double;24821;username;15000;0.0064966
closed_hash_quadratic;24821;username;15000;0.0060035
open_hash;24821;username;15000;0.0061054
STL_map;24821;username;15000;0.0050162
closed_hash_linear;24821;username;17500;0.0083727
closed_hash_double;24821;username;17500;0.0080882
closed_hash_quadratic;24821;username;17500;0.007607
open_hash;24821;username;17500;0.0072707
STL_map;24821;username;17500;0.0059338
closed_hash_linear;24821;username;20000;0.0121144
closed_hash_double;24821;username;20000;0.0105875
closed_hash_quadratic;24821;username;20000;0.0097121
open_hash;24821;username;20000;0.0083058
STL_map;24821;username;20000;0.0067013
closed_hash_linear;24821;username;2500;0.0007838
closed_hash_double;24821;username;2500;0.0008536
closed_hash_quadratic;24821;username;2500;0.000818
open_hash;24821;username;2500;0.0009283
STL_map;24821;username;2500;0.0007783
closed_hash_linear;24821;username;5000;0.0027532
closed_hash_double;24821;username;5000;0.0018954
closed_hash_quadratic;24821;username;5000;0.0018425
open_hash;24821;username;5000;0.0018939
STL_map;24821;username;5000;0.0015487
closed_hash_linear;24821;username;7500;0.0024257
closed_hash_double;24821;username;7500;0.0026805
closed_hash_quadratic;24821;username;7500;0.002444
open_hash;24821;username;7500;0.0028682
STL_map;24821;username;7500;0.0023426
closed_hash_linear;24821;username;10000;0.0035383
closed_hash_double;24821;username;10000;0.0041023
closed_hash_quadratic;24821;username;10000;0.0035224
open_hash;24821;username;10000;0.0040951
STL_map;24821;username;10000;0.0033047
closed_hash_linear;24821;username;12500;0.0048012
closed_hash_double;24821;username;12500;0.0051235
closed_hash_quadratic;24821;username;12500;0.0046824
open_hash;24821;username;12500;0.0050805
STL_map;24821;username;12500;0.0042265
closed_hash_linear;24821;username;15000;0.0062885
closed_hash_double;24821;username;15000;0.007651
closed_hash_quadratic;24821;username;15000;0.0072142
open_hash;24821;username;15000;0.00645
STL_map;24821;username;15000;0.0050073
closed_hash_linear;24821;username;17500;0.0084122
closed_hash_double;24821;username;17500;0.0082014
closed_hash_quadratic;24821;username;17500;0.0075335
open_hash;24821;username;17500;0.0072876
STL_map;24821;username;17500;0.0058744
closed_hash_linear;24821;username;20000;0.0120902
closed_hash_double;24821;username;20000;0.0105384
closed_hash_quadratic;24821;username;20000;0.0096789
open_hash;24821;username;20000;0.0081368
STL_map;24821;username;20000;0.0066952
closed_hash_linear;24821;username;2500;0.0007859
closed_hash_double;24821;username;2500;0.0008696
closed_hash_quadratic;24821;username;2500;0.0008176
open_hash;24821;username;2500;0.0009435
STL_map;24821;username;2500;0.0008054
closed_hash_linear;24821;username;5000;0.001777
closed_hash_double;24821;username;5000;0.0020102
closed_hash_quadratic;24821;username;5000;0.001842
open_hash;24821;username;5000;0.0018512
STL_map;24821;username;5000;0.0015381
closed_hash_linear;24821;username;7500;0.0026847
closed_hash_double;24821;username;7500;0.0027755
closed_hash_quadratic;24821;username;7500;0.0024229
open_hash;24821;username;7500;0.0028279
STL_map;24821;username;7500;0.0024076
closed_hash_linear;24821;username;10000;0.00351
closed_hash_double;24821;username;10000;0.0038373
closed_hash_quadratic;24821;username;10000;0.0035294
open_hash;24821;username;10000;0.0040024
STL_map;24821;username;10000;0.0033814
closed_hash_linear;24821;username;12500;0.0047191
closed_hash_double;24821;username;12500;0.0097345
closed_hash_quadratic;24821;username;12500;0.0048396
open_hash;24821;username;12500;0.0051278
STL_map;24821;username;12500;0.0042174
