tipoTabla;dataSet;sizeTabla;tipoClave;numElementos;tiempo
closed_hash_linear;dummy_data;24821;user_id;2500;0.0043426
closed_hash_double;dummy_data;24821;user_id;2500;0.0013917
closed_hash_quadratic;dummy_data;24821;user_id;2500;0.0015013
open_hash;dummy_data;24821;user_id;2500;0.0002613
STL_map;dummy_data;24821;user_id;2500;0.0003335
closed_hash_linear;dummy_data;24821;user_id;5000;0.009651
closed_hash_double;dummy_data;24821;user_id;5000;0.004409
closed_hash_quadratic;dummy_data;24821;user_id;5000;0.002983
open_hash;dummy_data;24821;user_id;5000;0.0004295
STL_map;dummy_data;24821;user_id;5000;0.0005136
closed_hash_linear;dummy_data;24821;user_id;7500;0.0133537
closed_hash_double;dummy_data;24821;user_id;7500;0.0042996
closed_hash_quadratic;dummy_data;24821;user_id;7500;0.0045077
open_hash;dummy_data;24821;user_id;7500;0.0006708
STL_map;dummy_data;24821;user_id;7500;0.0007772
closed_hash_linear;dummy_data;24821;user_id;10000;0.018062
closed_hash_double;dummy_data;24821;user_id;10000;0.0055299
closed_hash_quadratic;dummy_data;24821;user_id;10000;0.005992
open_hash;dummy_data;24821;user_id;10000;0.0008575
STL_map;dummy_data;24821;user_id;10000;0.0010492
closed_hash_linear;dummy_data;24821;user_id;12500;0.0225818
closed_hash_double;dummy_data;24821;user_id;12500;0.0073164
closed_hash_quadratic;dummy_data;24821;user_id;12500;0.0081911
open_hash;dummy_data;24821;user_id;12500;0.0012478
STL_map;dummy_data;24821;user_id;12500;0.0013259
closed_hash_linear;dummy_data;24821;user_id;15000;0.0268787
closed_hash_double;dummy_data;24821;user_id;15000;0.0082798
closed_hash_quadratic;dummy_data;24821;user_id;15000;0.0093513
open_hash;dummy_data;24821;user_id;15000;0.0013679
STL_map;dummy_data;24821;user_id;15000;0.0015294
closed_hash_linear;dummy_data;24821;user_id;17500;0.0318719
closed_hash_double;dummy_data;24821;user_id;17500;0.0100286
closed_hash_quadratic;dummy_data;24821;user_id;17500;0.0104116
open_hash;dummy_data;24821;user_id;17500;0.0015157
STL_map;dummy_data;24821;user_id;17500;0.002168
closed_hash_linear;dummy_data;24821;user_id;20000;0.0367107
closed_hash_double;dummy_data;24821;user_id;20000;0.0110869
closed_hash_quadratic;dummy_data;24821;user_id;20000;0.0119557
open_hash;dummy_data;24821;user_id;20000;0.0017298
STL_map;dummy_data;24821;user_id;20000;0.0020605
closed_hash_linear;dummy_data;24821;user_id;2500;0.0046458
