tipoTabla;dataSet;sizeTabla;tipoClave;numElementos;tiempo
closed_hash_linear;dummy_data;24821;username;2500;0.0129714
closed_hash_double;dummy_data;24821;username;2500;0.0048945
closed_hash_quadratic;dummy_data;24821;username;2500;0.0043089
open_hash;dummy_data;24821;username;2500;0.0005659
STL_map;dummy_data;24821;username;2500;0.0002473
closed_hash_linear;dummy_data;24821;username;5000;0.0267913
closed_hash_double;dummy_data;24821;username;5000;0.0100107
closed_hash_quadratic;dummy_data;24821;username;5000;0.0084983
open_hash;dummy_data;24821;username;5000;0.0011572
STL_map;dummy_data;24821;username;5000;0.0005673
closed_hash_linear;dummy_data;24821;username;7500;0.0399575
closed_hash_double;dummy_data;24821;username;7500;0.014923
closed_hash_quadratic;dummy_data;24821;username;7500;0.0131372
open_hash;dummy_data;24821;username;7500;0.0016885
STL_map;dummy_data;24821;username;7500;0.0007449
closed_hash_linear;dummy_data;24821;username;10000;0.0506636
closed_hash_double;dummy_data;24821;username;10000;0.0221241
closed_hash_quadratic;dummy_data;24821;username;10000;0.0172864
open_hash;dummy_data;24821;username;10000;0.0027843
STL_map;dummy_data;24821;username;10000;0.0009926
closed_hash_linear;dummy_data;24821;username;12500;0.0649083
closed_hash_double;dummy_data;24821;username;12500;0.0247233
closed_hash_quadratic;dummy_data;24821;username;12500;0.0215857
open_hash;dummy_data;24821;username;12500;0.0028455
STL_map;dummy_data;24821;username;12500;0.0012448
closed_hash_linear;dummy_data;24821;username;15000;0.0754746
closed_hash_double;dummy_data;24821;username;15000;0.0311047
closed_hash_quadratic;dummy_data;24821;username;15000;0.0262727
open_hash;dummy_data;24821;username;15000;0.0034629
STL_map;dummy_data;24821;username;15000;0.0016035
closed_hash_linear;dummy_data;24821;username;17500;0.0902395
closed_hash_double;dummy_data;24821;username;17500;0.0342625
closed_hash_quadratic;dummy_data;24821;username;17500;0.0301327
open_hash;dummy_data;24821;username;17500;0.0039936
STL_map;dummy_data;24821;username;17500;0.0017445
closed_hash_linear;dummy_data;24821;username;20000;0.100911
closed_hash_double;dummy_data;24821;username;20000;0.0405639
closed_hash_quadratic;dummy_data;24821;username;20000;0.0539973
open_hash;dummy_data;24821;username;20000;0.0049059
STL_map;dummy_data;24821;username;20000;0.0020422
closed_hash_linear;dummy_data;24821;username;2500;0.0128518
closed_hash_double;dummy_data;24821;username;2500;0.0050534
closed_hash_quadratic;dummy_data;24821;username;2500;0.0042022
open_hash;dummy_data;24821;username;2500;0.0006174
STL_map;dummy_data;24821;username;2500;0.0002543
closed_hash_linear;dummy_data;24821;username;5000;0.0251582
closed_hash_double;dummy_data;24821;username;5000;0.010086
closed_hash_quadratic;dummy_data;24821;username;5000;0.0125774
open_hash;dummy_data;24821;username;5000;0.0012461
STL_map;dummy_data;24821;username;5000;0.0005182
closed_hash_linear;dummy_data;24821;username;7500;0.0412657
closed_hash_double;dummy_data;24821;username;7500;0.0160788
closed_hash_quadratic;dummy_data;24821;username;7500;0.0131361
open_hash;dummy_data;24821;username;7500;0.0017806
STL_map;dummy_data;24821;username;7500;0.0008264
closed_hash_linear;dummy_data;24821;username;10000;0.0529254
closed_hash_double;dummy_data;24821;username;10000;0.0214368
closed_hash_quadratic;dummy_data;24821;username;10000;0.0193779
open_hash;dummy_data;24821;username;10000;0.0025605
STL_map;dummy_data;24821;username;10000;0.0010553
closed_hash_linear;dummy_data;24821;username;12500;0.0650174
closed_hash_double;dummy_data;24821;username;12500;0.0404365
closed_hash_quadratic;dummy_data;24821;username;12500;0.0223611
open_hash;dummy_data;24821;username;12500;0.0030542
STL_map;dummy_data;24821;username;12500;0.0014818
closed_hash_linear;dummy_data;24821;username;15000;0.0779876
closed_hash_double;dummy_data;24821;username;15000;0.029944
closed_hash_quadratic;dummy_data;24821;username;15000;0.0400543
open_hash;dummy_data;24821;username;15000;0.0040211
STL_map;dummy_data;24821;username;15000;0.0015392
closed_hash_linear;dummy_data;24821;username;17500;0.0887955
closed_hash_double;dummy_data;24821;username;17500;0.0397499
closed_hash_quadratic;dummy_data;24821;username;17500;0.0295737
open_hash;dummy_data;24821;username;17500;0.0039517
STL_map;dummy_data;24821;username;17500;0.0017619
closed_hash_linear;dummy_data;24821;username;20000;0.102758
closed_hash_double;dummy_data;24821;username;20000;0.039073
