tipoTabla;sizeTabla;tipoClave;numElementos;tiempo
STL_map;24821;username;2500;0.0008819
STL_map;24821;username;5000;0.0016772
STL_map;24821;username;7500;0.002632
STL_map;24821;username;10000;0.0036824
STL_map;24821;username;12500;0.0046649
STL_map;24821;username;15000;0.0055716
STL_map;24821;username;17500;0.0065388
STL_map;24821;username;20000;0.0076496
STL_map;24821;username;2500;0.0008692
STL_map;24821;username;5000;0.001676
STL_map;24821;username;7500;0.0025996
STL_map;24821;username;10000;0.0036677
STL_map;24821;username;12500;0.0045308
STL_map;24821;username;15000;0.0055017
STL_map;24821;username;17500;0.0064107
STL_map;24821;username;20000;0.0085475
STL_map;24821;username;2500;0.0008937
STL_map;24821;username;5000;0.0016753
STL_map;24821;username;7500;0.0026264
STL_map;24821;username;10000;0.003741
STL_map;24821;username;12500;0.0047492
STL_map;24821;username;15000;0.0057346
STL_map;24821;username;17500;0.0066977
STL_map;24821;username;20000;0.007739
STL_map;24821;username;2500;0.0009142
STL_map;24821;username;5000;0.0016696
STL_map;24821;username;7500;0.0026552
STL_map;24821;username;10000;0.0037237
STL_map;24821;username;12500;0.0047877
STL_map;24821;username;15000;0.0055465
STL_map;24821;username;17500;0.0065208
STL_map;24821;username;20000;0.0077428
STL_map;24821;username;2500;0.0008684
STL_map;24821;username;5000;0.0016872
STL_map;24821;username;7500;0.0025933
STL_map;24821;username;10000;0.0039797
STL_map;24821;username;12500;0.0047722
STL_map;24821;username;15000;0.0053286
STL_map;24821;username;17500;0.0063368
STL_map;24821;username;20000;0.0073351
STL_map;24821;username;2500;0.0008802
STL_map;24821;username;5000;0.0016801
STL_map;24821;username;7500;0.0027521
STL_map;24821;username;10000;0.0041025
STL_map;24821;username;12500;0.0052356
STL_map;24821;username;15000;0.0059607
STL_map;24821;username;17500;0.0088619
STL_map;24821;username;20000;0.0082657
STL_map;24821;username;2500;0.0009434
STL_map;24821;username;5000;0.0017979
STL_map;24821;username;7500;0.0027756
STL_map;24821;username;10000;0.0038364
STL_map;24821;username;12500;0.004821
STL_map;24821;username;15000;0.0058146
STL_map;24821;username;17500;0.0067326
STL_map;24821;username;20000;0.0087266
STL_map;24821;username;2500;0.0009065
STL_map;24821;username;5000;0.0017169
STL_map;24821;username;7500;0.0029337
STL_map;24821;username;10000;0.0054287
STL_map;24821;username;12500;0.0058087
STL_map;24821;username;15000;0.0071973
STL_map;24821;username;17500;0.0069311
STL_map;24821;username;20000;0.0074634
STL_map;24821;username;2500;0.0011099
STL_map;24821;username;5000;0.0016814
STL_map;24821;username;7500;0.0026287
STL_map;24821;username;10000;0.0037086
STL_map;24821;username;12500;0.0047603
STL_map;24821;username;15000;0.0058065
STL_map;24821;username;17500;0.0066851
STL_map;24821;username;20000;0.0075072
STL_map;24821;username;2500;0.0008763
STL_map;24821;username;5000;0.0016664
STL_map;24821;username;7500;0.0025798
STL_map;24821;username;10000;0.0036678
STL_map;24821;username;12500;0.0047752
STL_map;24821;username;15000;0.0055269
STL_map;24821;username;17500;0.0065047
STL_map;24821;username;20000;0.0074885
STL_map;24821;username;2500;0.0008848
STL_map;24821;username;5000;0.001657
STL_map;24821;username;7500;0.0026686
STL_map;24821;username;10000;0.0035871
STL_map;24821;username;12500;0.0046493
STL_map;24821;username;15000;0.0054726
STL_map;24821;username;17500;0.0063108
STL_map;24821;username;20000;0.0073537
STL_map;24821;username;2500;0.0008649
STL_map;24821;username;5000;0.0017281
STL_map;24821;username;7500;0.0026287
STL_map;24821;username;10000;0.003789
