tipoTabla;dataSet;sizeTabla;tipoClave;numElementos;tiempo
closed_hash_linear;twitter_data;24821;user_id;2500;0.0003835
closed_hash_double;twitter_data;24821;user_id;2500;0.000423
closed_hash_quadratic;twitter_data;24821;user_id;2500;0.0003871
open_hash;twitter_data;24821;user_id;2500;0.0003616
STL_map;twitter_data;24821;user_id;2500;0.0003034
closed_hash_linear;twitter_data;24821;user_id;5000;0.0007913
closed_hash_double;twitter_data;24821;user_id;5000;0.0008744
closed_hash_quadratic;twitter_data;24821;user_id;5000;0.0008092
open_hash;twitter_data;24821;user_id;5000;0.0006751
STL_map;twitter_data;24821;user_id;5000;0.0005947
closed_hash_linear;twitter_data;24821;user_id;7500;0.0012554
closed_hash_double;twitter_data;24821;user_id;7500;0.0013948
closed_hash_quadratic;twitter_data;24821;user_id;7500;0.0012656
open_hash;twitter_data;24821;user_id;7500;0.0012704
STL_map;twitter_data;24821;user_id;7500;0.0008599
closed_hash_linear;twitter_data;24821;user_id;10000;0.0017538
closed_hash_double;twitter_data;24821;user_id;10000;0.0018806
closed_hash_quadratic;twitter_data;24821;user_id;10000;0.0024197
open_hash;twitter_data;24821;user_id;10000;0.00175
STL_map;twitter_data;24821;user_id;10000;0.0012385
closed_hash_linear;twitter_data;24821;user_id;12500;0.0023859
closed_hash_double;twitter_data;24821;user_id;12500;0.0025353
closed_hash_quadratic;twitter_data;24821;user_id;12500;0.0024172
open_hash;twitter_data;24821;user_id;12500;0.0017725
STL_map;twitter_data;24821;user_id;12500;0.0015175
closed_hash_linear;twitter_data;24821;user_id;15000;0.0033005
closed_hash_double;twitter_data;24821;user_id;15000;0.0037141
closed_hash_quadratic;twitter_data;24821;user_id;15000;0.002982
open_hash;twitter_data;24821;user_id;15000;0.0022496
STL_map;twitter_data;24821;user_id;15000;0.001668
closed_hash_linear;twitter_data;24821;user_id;17500;0.0041477
closed_hash_double;twitter_data;24821;user_id;17500;0.0040495
closed_hash_quadratic;twitter_data;24821;user_id;17500;0.0039626
open_hash;twitter_data;24821;user_id;17500;0.0029047
STL_map;twitter_data;24821;user_id;17500;0.0021675
closed_hash_linear;twitter_data;24821;user_id;20000;0.0063048
closed_hash_double;twitter_data;24821;user_id;20000;0.0049938
closed_hash_quadratic;twitter_data;24821;user_id;20000;0.0052109
open_hash;twitter_data;24821;user_id;20000;0.002771
STL_map;twitter_data;24821;user_id;20000;0.0021625
closed_hash_linear;twitter_data;24821;user_id;2500;0.0003959
closed_hash_double;twitter_data;24821;user_id;2500;0.0004205
closed_hash_quadratic;twitter_data;24821;user_id;2500;0.0003804
open_hash;twitter_data;24821;user_id;2500;0.0004197
STL_map;twitter_data;24821;user_id;2500;0.0003241
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008426
closed_hash_double;twitter_data;24821;user_id;5000;0.0008856
closed_hash_quadratic;twitter_data;24821;user_id;5000;0.0008092
open_hash;twitter_data;24821;user_id;5000;0.0007008
STL_map;twitter_data;24821;user_id;5000;0.0006283
closed_hash_linear;twitter_data;24821;user_id;7500;0.00128
closed_hash_double;twitter_data;24821;user_id;7500;0.0013501
closed_hash_quadratic;twitter_data;24821;user_id;7500;0.0013752
open_hash;twitter_data;24821;user_id;7500;0.0013949
STL_map;twitter_data;24821;user_id;7500;0.0009832
closed_hash_linear;twitter_data;24821;user_id;10000;0.0019401
closed_hash_double;twitter_data;24821;user_id;10000;0.0023002
closed_hash_quadratic;twitter_data;24821;user_id;10000;0.0018803
open_hash;twitter_data;24821;user_id;10000;0.0018554
STL_map;twitter_data;24821;user_id;10000;0.0011591
closed_hash_linear;twitter_data;24821;user_id;12500;0.0023519
closed_hash_double;twitter_data;24821;user_id;12500;0.004417
closed_hash_quadratic;twitter_data;24821;user_id;12500;0.0025053
open_hash;twitter_data;24821;user_id;12500;0.002686
STL_map;twitter_data;24821;user_id;12500;0.001609
closed_hash_linear;twitter_data;24821;user_id;15000;0.0040442
closed_hash_double;twitter_data;24821;user_id;15000;0.0032524
closed_hash_quadratic;twitter_data;24821;user_id;15000;0.0045642
open_hash;twitter_data;24821;user_id;15000;0.0025707
STL_map;twitter_data;24821;user_id;15000;0.0016404
closed_hash_linear;twitter_data;24821;user_id;17500;0.0041066
closed_hash_double;twitter_data;24821;user_id;17500;0.003939
closed_hash_quadratic;twitter_data;24821;user_id;17500;0.0037467
open_hash;twitter_data;24821;user_id;17500;0.0022057
