tipoTabla;dataSet;sizeTabla;tipoClave;numElementos;tiempo
closed_hash_linear;twitter_data;24821;username;2500;0.0005761
closed_hash_double;twitter_data;24821;username;2500;0.0006748
closed_hash_quadratic;twitter_data;24821;username;2500;0.0005794
open_hash;twitter_data;24821;username;2500;0.0005169
STL_map;twitter_data;24821;username;2500;0.0003216
closed_hash_linear;twitter_data;24821;username;5000;0.0012267
closed_hash_double;twitter_data;24821;username;5000;0.0014205
closed_hash_quadratic;twitter_data;24821;username;5000;0.001206
open_hash;twitter_data;24821;username;5000;0.0010423
STL_map;twitter_data;24821;username;5000;0.0007711
closed_hash_linear;twitter_data;24821;username;7500;0.0018832
closed_hash_double;twitter_data;24821;username;7500;0.0023468
closed_hash_quadratic;twitter_data;24821;username;7500;0.0018662
open_hash;twitter_data;24821;username;7500;0.0014838
STL_map;twitter_data;24821;username;7500;0.0009526
closed_hash_linear;twitter_data;24821;username;10000;0.0026879
closed_hash_double;twitter_data;24821;username;10000;0.0030286
closed_hash_quadratic;twitter_data;24821;username;10000;0.0033107
open_hash;twitter_data;24821;username;10000;0.0025039
STL_map;twitter_data;24821;username;10000;0.0019148
closed_hash_linear;twitter_data;24821;username;12500;0.0056831
closed_hash_double;twitter_data;24821;username;12500;0.0055891
closed_hash_quadratic;twitter_data;24821;username;12500;0.0035353
open_hash;twitter_data;24821;username;12500;0.0025131
STL_map;twitter_data;24821;username;12500;0.0015955
closed_hash_linear;twitter_data;24821;username;15000;0.0053549
closed_hash_double;twitter_data;24821;username;15000;0.005326
closed_hash_quadratic;twitter_data;24821;username;15000;0.0046167
open_hash;twitter_data;24821;username;15000;0.0032353
STL_map;twitter_data;24821;username;15000;0.0018533
closed_hash_linear;twitter_data;24821;username;17500;0.0067065
closed_hash_double;twitter_data;24821;username;17500;0.0065444
closed_hash_quadratic;twitter_data;24821;username;17500;0.0057643
open_hash;twitter_data;24821;username;17500;0.0049524
STL_map;twitter_data;24821;username;17500;0.0021165
closed_hash_linear;twitter_data;24821;username;20000;0.0100016
closed_hash_double;twitter_data;24821;username;20000;0.0088208
closed_hash_quadratic;twitter_data;24821;username;20000;0.0075426
open_hash;twitter_data;24821;username;20000;0.0037983
STL_map;twitter_data;24821;username;20000;0.0023809
closed_hash_linear;twitter_data;24821;username;2500;0.0005855
closed_hash_double;twitter_data;24821;username;2500;0.0006743
closed_hash_quadratic;twitter_data;24821;username;2500;0.0005837
open_hash;twitter_data;24821;username;2500;0.000525
STL_map;twitter_data;24821;username;2500;0.0003207
closed_hash_linear;twitter_data;24821;username;5000;0.0015437
closed_hash_double;twitter_data;24821;username;5000;0.0014152
closed_hash_quadratic;twitter_data;24821;username;5000;0.0011923
open_hash;twitter_data;24821;username;5000;0.0012439
STL_map;twitter_data;24821;username;5000;0.0006903
closed_hash_linear;twitter_data;24821;username;7500;0.0018748
closed_hash_double;twitter_data;24821;username;7500;0.0034892
closed_hash_quadratic;twitter_data;24821;username;7500;0.0019645
open_hash;twitter_data;24821;username;7500;0.0015555
STL_map;twitter_data;24821;username;7500;0.0009441
closed_hash_linear;twitter_data;24821;username;10000;0.0035993
closed_hash_double;twitter_data;24821;username;10000;0.0032493
closed_hash_quadratic;twitter_data;24821;username;10000;0.0027604
open_hash;twitter_data;24821;username;10000;0.0021012
STL_map;twitter_data;24821;username;10000;0.0012398
closed_hash_linear;twitter_data;24821;username;12500;0.0035942
closed_hash_double;twitter_data;24821;username;12500;0.0040507
closed_hash_quadratic;twitter_data;24821;username;12500;0.0034871
open_hash;twitter_data;24821;username;12500;0.0024668
STL_map;twitter_data;24821;username;12500;0.003482
closed_hash_linear;twitter_data;24821;username;15000;0.0050325
closed_hash_double;twitter_data;24821;username;15000;0.005144
closed_hash_quadratic;twitter_data;24821;username;15000;0.0044791
open_hash;twitter_data;24821;username;15000;0.003144
STL_map;twitter_data;24821;username;15000;0.0020301
closed_hash_linear;twitter_data;24821;username;17500;0.0069513
closed_hash_double;twitter_data;24821;username;17500;0.0071909
closed_hash_quadratic;twitter_data;24821;username;17500;0.0063451
open_hash;twitter_data;24821;username;17500;0.004115
STL_map;twitter_data;24821;username;17500;0.0023605
closed_hash_linear;twitter_data;24821;username;20000;0.0102486
closed_hash_double;twitter_data;24821;username;20000;0.0089182
closed_hash_quadratic;twitter_data;24821;username;20000;0.0076004
open_hash;twitter_data;24821;username;20000;0.0042224
